Country,LifeExpectancy,Income,Population,Region
China,76.7,12609,1369435670,East Asia & Pacific
India,66.5,5565,1295291543,South Asia
United States,79,52118,319448634,America
Indonesia,70.7,10099,254454778,East Asia & Pacific
Brazil,75.3,15412,206077898,America
Pakistan,66.1,4619,185044286,South Asia
Nigeria,60.71,5607,177475986,Sub-Saharan Africa
Bangladesh,69.8,2991,159077513,South Asia
Russia,72.21,23293,143429435,Europe & Central Asia
Japan,83.4,35635,126794564,East Asia & Pacific
Mexico,75,16496,125385833,America
Philippines,70.1,6598,99138690,East Asia & Pacific
Ethiopia,63.1,1432,96958732,Sub-Saharan Africa
Vietnam,76.4,5370,92423338,East Asia & Pacific
Egypt,71.1,10792,89579670,Middle East & North Africa
Germany,80.9,43444,80646262,Europe & Central Asia
Iran,78.4,15573,78143644,Middle East & North Africa
Turkey,76.4,18884,77523788,Europe & Central Asia
Democratic Republic of Congo,57.9,768,74877030,Sub-Saharan Africa
Thailand,75,13986,67725979,East Asia & Pacific
United Kingdom,81.2,37614,64331348,Europe & Central Asia
France,81.8,37218,64121249,Europe & Central Asia
Italy,82.1,33078,59788667,Europe & Central Asia
South Africa,62.04,12446,53969054,Sub-Saharan Africa
Myanmar,67.5,3727,53437159,East Asia & Pacific
Tanzania,62.81,2472,51822621,Sub-Saharan Africa
South Korea,80.6,33629,50074401,East Asia & Pacific
Colombia,75.7,12447,47791393,America
Spain,81.7,32270,46259716,Europe & Central Asia
Ukraine,71.9,8267,45002497,Europe & Central Asia
Kenya,65.91,2776,44863583,Sub-Saharan Africa
Argentina,76.1,17519,42980026,America
Sudan,69.2,3940,39350274,Sub-Saharan Africa
Algeria,76.4,13179,38934334,Middle East & North Africa
Poland,77.1,23952,38619974,Europe & Central Asia
Uganda,60.3,1638,37782971,Sub-Saharan Africa
Canada,81.6,42817,35587793,America
Iraq,71.7,14018,35273293,Middle East & North Africa
Morocco,74.5,7040,33921203,Middle East & North Africa
Afghanistan,56.91,1877,31627506,South Asia
Peru,77.3,11514,30973148,America
Saudi Arabia,78,52096,30886545,Middle East & North Africa
Venezuela,75.6,16666,30693827,America
Malaysia,74.9,23579,29901997,East Asia & Pacific
Uzbekistan,69.9,5320,29469913,Europe & Central Asia
Nepal,70.9,2265,28174724,South Asia
Mozambique,56.3,1115,27216276,Sub-Saharan Africa
Ghana,65.2,3953,26786598,Sub-Saharan Africa
Yemen,67.3,3866,26183676,Middle East & North Africa
North Korea,71.3,1391,25026772,East Asia & Pacific
Angola,60.7,7546,24227524,Sub-Saharan Africa
Australia,81.8,43219,23622353,East Asia & Pacific
Madagascar,64.5,1371,23571713,Sub-Saharan Africa
Cameroon,59.1,2829,22773014,Sub-Saharan Africa
Cote d'Ivoire,59.61,3324,22157107,Sub-Saharan Africa
Sri Lanka,76.3,10043,20618991,South Asia
Romania,76.4,18569,19651554,Europe & Central Asia
Niger,61.9,923,19113728,Sub-Saharan Africa
Syria,71.32,5105,18772481,Middle East & North Africa
Chile,79.2,21967,17762647,America
Burkina Faso,62.4,1606,17589198,Sub-Saharan Africa
Kazakhstan,68,23092,17371621,Europe & Central Asia
Mali,57.4,1653,17086022,Sub-Saharan Africa
Netherlands,80.6,45281,16868020,Europe & Central Asia
Malawi,58.74,778,16695253,Sub-Saharan Africa
Guatemala,72.7,7181,16015494,America
Ecuador,75,10774,15902916,America
Zambia,57.82,3898,15721343,Sub-Saharan Africa
Cambodia,68.1,3093,15328136,East Asia & Pacific
Zimbabwe,57.97,1773,15245855,Sub-Saharan Africa
Senegal,65.9,2206,14672557,Sub-Saharan Africa
Chad,57.4,2141,13587053,Sub-Saharan Africa
Guinea,60.5,1179,12275527,Sub-Saharan Africa
South Sudan,57.6,2574,11911184,Sub-Saharan Africa
Cuba,78.4,20704,11379111,America
Rwanda,65.91,1485,11341544,Sub-Saharan Africa
Belgium,80.3,40885,11226322,Europe & Central Asia
Tunisia,77.2,10825,11130154,Middle East & North Africa
Greece,79.8,24502,11000777,Europe & Central Asia
Burundi,60.1,758,10816860,Sub-Saharan Africa
Benin,65.2,1779,10598482,Sub-Saharan Africa
Haiti,64.8,1670,10572029,America
Bolivia,72.1,6153,10561887,America
Czech Republic,78.4,28695,10542666,Europe & Central Asia
Somalia,58.2,621,10517569,Sub-Saharan Africa
Dominican Republic,73.7,12505,10405943,America
Portugal,79.8,26055,10402343,Europe & Central Asia
Hungary,76,23609,9889540,Europe & Central Asia
Sweden,81.9,44029,9703247,Europe & Central Asia
Azerbaijan,72.6,16710,9629779,Europe & Central Asia
Belarus,70.3,17349,9500422,Europe & Central Asia
United Arab Emirates,76.5,60578,9086139,Middle East & North Africa
Serbia,77.9,12717,8892815,Europe & Central Asia
Austria,80.9,43906,8516916,Europe & Central Asia
Tajikistan,70.8,2533,8295840,Europe & Central Asia
Switzerland,82.8,55776,8211383,Europe & Central Asia
Honduras,72.2,4214,7961680,America
Israel,82.3,31180,7939483,Middle East & North Africa
Papua New Guinea,60.2,2510,7463577,East Asia & Pacific
Jordan,78.2,11496,7416083,Middle East & North Africa
Bulgaria,74.7,16048,7201308,Europe & Central Asia
Togo,63.61,1387,7115163,Sub-Saharan Africa
Lao,66.1,4925,6689300,East Asia & Pacific
Paraguay,73.8,8038,6552518,America
